CODEOL;TIPO;UNIDADE;DIRETORIA;DISTRITO;NIVEL;QTDE;Nível padronizado;nm_distrito_municipal;cd_subprefeitura;nm_subprefeitura;nivel_subprefeitura
86;EMEI;PAULO CAMILHIER FLORENCANO;GUAIANASES;GUAIANASES;CRECHE;0;Educação Infantil;GUAIANASES;28;GUAIANASES;Educação Infantil|GUAIANASES
94;EMEI;VICENTE PAULO DA SILVA;FREGUESIA/BRASILANDIA;LIMAO;CRECHE;0;Educação Infantil;LIMAO;04;CASA VERDE-CACHOEIRINHA;Educação Infantil|CASA VERDE-CACHOEIRINHA
108;EMEF;JOSE ERMIRIO DE MORAES, SEN.;SAO MIGUEL;JARDIM HELENA;CRECHE;0;Educação Infantil;JARDIM HELENA;23;SAO MIGUEL;Educação Infantil|SAO MIGUEL
191;EMEF;ALIPIO CORREA NETO, PROF.;BUTANTA;VILA SONIA;CRECHE;0;Educação Infantil;VILA SONIA;10;BUTANTA;Educação Infantil|BUTANTA
205;EMEBS;VERA LUCIA APARECIDA RIBEIRO, PROFA.;PIRITUBA;PIRITUBA;CRECHE;0;Educação Infantil;PIRITUBA;02;PIRITUBA-JARAGUA;Educação Infantil|PIRITUBA-JARAGUA
213;EMEI;ANTONIO CARLOS PACHECO E SILVA, PROF.;BUTANTA;VILA SONIA;CRECHE;0;Educação Infantil;VILA SONIA;10;BUTANTA;Educação Infantil|BUTANTA
221;EMEI;NAIR CORREA BUARQUE;FREGUESIA/BRASILANDIA;FREGUESIA DO O;CRECHE;0;Educação Infantil;FREGUESIA DO O;03;FREGUESIA-BRASILANDIA;Educação Infantil|FREGUESIA-BRASILANDIA
230;EMEI;MARIA YOLANDA DE SOUZA PINTO HAHNE, DA.;JACANA/TREMEMBE;VILA MARIA;CRECHE;0;Educação Infantil;VILA MARIA;07;VILA MARIA-VILA GUILHERME;Educação Infantil|VILA MARIA-VILA GUILHERME
248;EMEI;WALFRIDO DE CARVALHO, CEL.;JACANA/TREMEMBE;TREMEMBE;CRECHE;0;Educação Infantil;TREMEMBE;06;JACANA-TREMEMBE;Educação Infantil|JACANA-TREMEMBE
256;EMEI;WILMA ALVARENGA DE OLIVEIRA, PROFA.;CAMPO LIMPO;CAPAO REDONDO;CRECHE;0;Educação Infantil;CAPAO REDONDO;17;CAMPO LIMPO;Educação Infantil|CAMPO LIMPO
264;EMEF;SYLVIO HECK, ALM.;SANTO AMARO;PEDREIRA;CRECHE;0;Educação Infantil;PEDREIRA;16;CIDADE ADEMAR;Educação Infantil|CIDADE ADEMAR
281;EMEF;VERA LUCIA FUSCO BORBA, PROFA.;CAMPO LIMPO;CAMPO LIMPO;CRECHE;0;Educação Infantil;CAMPO LIMPO;17;CAMPO LIMPO;Educação Infantil|CAMPO LIMPO
299;EMEF;ROBERTO PATRICIO, PROF.;FREGUESIA/BRASILANDIA;CACHOEIRINHA;CRECHE;0;Educação Infantil;CACHOEIRINHA;04;CASA VERDE-CACHOEIRINHA;Educação Infantil|CASA VERDE-CACHOEIRINHA
302;EMEF;HELIO FRANCO CHAVES, CEL.;JACANA/TREMEMBE;TREMEMBE;CRECHE;0;Educação Infantil;TREMEMBE;06;JACANA-TREMEMBE;Educação Infantil|JACANA-TREMEMBE
311;EMEF;ANTONIO ALVES DA SILVA, SG.;CAMPO LIMPO;CAPAO REDONDO;CRECHE;0;Educação Infantil;CAPAO REDONDO;17;CAMPO LIMPO;Educação Infantil|CAMPO LIMPO
329;EMEBS;NEUSA BASSETTO, PROFA.;PENHA;MOOCA;CRECHE;0;Educação Infantil;MOOCA;25;MOOCA;Educação Infantil|MOOCA
337;EMEBS;LUCIE BRAY, ME;JACANA/TREMEMBE;JACANA;CRECHE;0;Educação Infantil;JACANA;06;JACANA-TREMEMBE;Educação Infantil|JACANA-TREMEMBE
388;EMEI;RAUL JOVIANO DO AMARAL;SANTO AMARO;PEDREIRA;CRECHE;0;Educação Infantil;PEDREIRA;16;CIDADE ADEMAR;Educação Infantil|CIDADE ADEMAR
418;EMEF;JOAO DE SOUZA FERRAZ, PROF.;SANTO AMARO;CAMPO GRANDE;CRECHE;0;Educação Infantil;CAMPO GRANDE;14;SANTO AMARO;Educação Infantil|SANTO AMARO
426;EMEI;CELIA CAMARGO PENTEADO ELIAS, PROFA.;SAO MATEUS;SAO RAFAEL;CRECHE;0;Educação Infantil;SAO RAFAEL;30;SAO MATEUS;Educação Infantil|SAO MATEUS
434;EMEI;CLEMENTE SEGUNDO PINHO, PROF.;PIRITUBA;JARAGUA;CRECHE;0;Educação Infantil;JARAGUA;02;PIRITUBA-JARAGUA;Educação Infantil|PIRITUBA-JARAGUA
442;EMEI;ANTONIO RUBBO MULLER, PROF.;IPIRANGA;SAO LUCAS;CRECHE;0;Educação Infantil;SAO LUCAS;29;VILA PRUDENTE;Educação Infantil|VILA PRUDENTE
