CODESC;TIPOESC;NOMES;SUBPREF;DISTRITO;CODINEP;CD_CIE;NOME_ANT;REDE;NOMES_COMPLETO;nm_distrito_municipal;cd_subprefeitura;nm_subprefeitura;DESC_REDE
86;EMEI;PAULO CAMILHIER FLORENCANO;GUAIANASES;GUAIANASES;35098711,0;1678110,0;;DIR;EMEI PAULO CAMILHIER FLORENCANO;GUAIANASES;28;GUAIANASES;Direta
94;EMEI;VICENTE PAULO DA SILVA;CASA VERDE/CACHOEIRINHA;LIMAO;35098361,0;1670158,0;;DIR;EMEI VICENTE PAULO DA SILVA;LIMAO;4;CASA VERDE-CACHOEIRINHA;Direta
108;EMEF;JOSE ERMIRIO DE MORAES, SEN.;SAO MIGUEL;JARDIM HELENA;35098760,0;1677116,0;VILA NITRO OPERARIA;DIR;EMEF JOSE ERMIRIO DE MORAES, SEN.;JARDIM HELENA;23;SAO MIGUEL;Direta
191;EMEF;ALIPIO CORREA NETO, PROF.;BUTANTA;VILA SONIA;35098462,0;1679154,0;;DIR;EMEF ALIPIO CORREA NETO, PROF.;VILA SONIA;10;BUTANTA;Direta
205;EMEBS;VERA LUCIA APARECIDA RIBEIRO, PROFA.;PIRITUBA;PIRITUBA;35079029,0;1671138,0;;DIR;EMEBS VERA LUCIA APARECIDA RIBEIRO, PROFA.;PIRITUBA;2;PIRITUBA-JARAGUA;Direta
213;EMEI;ANTONIO CARLOS PACHECO E SILVA, PROF.;BUTANTA;VILA SONIA;35098504,0;1679153,0;;DIR;EMEI ANTONIO CARLOS PACHECO E SILVA, PROF.;VILA SONIA;10;BUTANTA;Direta
221;EMEI;NAIR CORREA BUARQUE;FREGUESIA/BRASILANDIA;FREGUESIA DO O;35098425,0;1670140,0;INSTALADA JUNTO A EMPG ELIAS S. CAVALCANTI;DIR;EMEI NAIR CORREA BUARQUE;FREGUESIA DO O;3;FREGUESIA-BRASILANDIA;Direta
230;EMEI;MARIA YOLANDA DE SOUZA PINTO HAHNE, DA.;VILA MARIA/VILA GUILHERME;VILA MARIA;35098395,0;1669185,0;PARQUE SHIBA;DIR;EMEI MARIA YOLANDA DE SOUZA PINTO HAHNE, DA.;VILA MARIA;7;VILA MARIA-VILA GUILHERME;Direta
248;EMEI;WALFRIDO DE CARVALHO, CEL.;JACANA/TREMEMBE;TREMEMBE;35098383,0;1669129,0;JARDIM MARTINS SILVA;DIR;EMEI WALFRIDO DE CARVALHO, CEL.;TREMEMBE;6;JACANA-TREMEMBE;Direta
256;EMEI;WILMA ALVARENGA DE OLIVEIRA, PROFA.;CAMPO LIMPO;CAPAO REDONDO;35098656,0;1672157,0;;DIR;EMEI WILMA ALVARENGA DE OLIVEIRA, PROFA.;CAPAO REDONDO;17;CAMPO LIMPO;Direta
264;EMEF;SYLVIO HECK, ALM.;CIDADE ADEMAR;PEDREIRA;35098541,0;1673152,0;JARDIM ITAPURA;DIR;EMEF SYLVIO HECK, ALM.;PEDREIRA;16;CIDADE ADEMAR;Direta
281;EMEF;VERA LUCIA FUSCO BORBA, PROFA.;CAMPO LIMPO;CAMPO LIMPO;35098607,0;1672129,0;;DIR;EMEF VERA LUCIA FUSCO BORBA, PROFA.;CAMPO LIMPO;17;CAMPO LIMPO;Direta
299;EMEF;ROBERTO PATRICIO, PROF.;CASA VERDE/CACHOEIRINHA;CACHOEIRINHA;35098358,0;1670159,0;VILA AMELIA;DIR;EMEF ROBERTO PATRICIO, PROF.;CACHOEIRINHA;4;CASA VERDE-CACHOEIRINHA;Direta
302;EMEF;HELIO FRANCO CHAVES, CEL.;JACANA/TREMEMBE;TREMEMBE;35098371,0;1669118,0;;DIR;EMEF HELIO FRANCO CHAVES, CEL.;TREMEMBE;6;JACANA-TREMEMBE;Direta
311;EMEF;ANTONIO ALVES DA SILVA, SG.;CAMPO LIMPO;CAPAO REDONDO;35098632,0;1672133,0;;DIR;EMEF ANTONIO ALVES DA SILVA, SG.;CAPAO REDONDO;17;CAMPO LIMPO;Direta
329;EMEBS;NEUSA BASSETTO, PROFA.;MOOCA;MOOCA;35079017,0;1674168,0;NEUSA BASSETO, PROFA.;DIR;EMEBS NEUSA BASSETTO, PROFA.;MOOCA;25;MOOCA;Direta
337;EMEBS;LUCIE BRAY, ME;JACANA/TREMEMBE;JACANA;35079042,0;1669103,0;LUCIE BRAY, ME.;DIR;EMEBS LUCIE BRAY, ME;JACANA;6;JACANA-TREMEMBE;Direta
388;EMEI;RAUL JOVIANO DO AMARAL;CIDADE ADEMAR;PEDREIRA;35098553,0;1673146,0;;DIR;EMEI RAUL JOVIANO DO AMARAL;PEDREIRA;16;CIDADE ADEMAR;Direta
418;EMEF;JOAO DE SOUZA FERRAZ, PROF.;SANTO AMARO;CAMPO GRANDE;35098536,0;1673113,0;;DIR;EMEF JOAO DE SOUZA FERRAZ, PROF.;CAMPO GRANDE;14;SANTO AMARO;Direta
