CÓDIGO_SUBFUNÇÃO;DESCRIÇÃO_SUBFUNÇÃO;CÓDIGO_FONTE;REGIÃO;SUBPREFEITURA;TIPO_REGIONALIZAÇÃO;Vl_Liquidado;sub.NOME;NIVEL_REGIONALIZAÇÃO;Vl_Orcado_Ano;Vl_Orcado_Atualizado;Ds_Fonte
122;Administração Geral;00;Supra-Regional;Supra Subprefeitura;Despesa Não-Regionalizável;123950893,25;;Não regionalizável;0,0;0,0;Tesouro Municipal
122;Administração Geral;00;Centro;Supra Subprefeitura Centro;Despesa Regionalizável;1818885,18;;Região;0,0;0,0;Tesouro Municipal
122;Administração Geral;00;;;Despesa Regionalizável;0,0;ARICANDUVA-FORMOSA-CARRAO;Subprefeitura;0,0;0,0;Tesouro Municipal
122;Administração Geral;00;;;Despesa Regionalizável;0,0;BUTANTA;Subprefeitura;0,0;0,0;Tesouro Municipal
122;Administração Geral;00;;;Despesa Regionalizável;0,0;CAMPO LIMPO;Subprefeitura;0,0;0,0;Tesouro Municipal
122;Administração Geral;00;;;Despesa Regionalizável;0,0;CAPELA DO SOCORRO;Subprefeitura;0,0;0,0;Tesouro Municipal
122;Administração Geral;00;;;Despesa Regionalizável;0,0;CASA VERDE-CACHOEIRINHA;Subprefeitura;0,0;0,0;Tesouro Municipal
122;Administração Geral;00;;;Despesa Regionalizável;0,0;CIDADE ADEMAR;Subprefeitura;0,0;0,0;Tesouro Municipal
122;Administração Geral;00;;;Despesa Regionalizável;0,0;CIDADE TIRADENTES;Subprefeitura;0,0;0,0;Tesouro Municipal
122;Administração Geral;00;;;Despesa Regionalizável;0,0;ERMELINO MATARAZZO;Subprefeitura;0,0;0,0;Tesouro Municipal
122;Administração Geral;00;;;Despesa Regionalizável;0,0;FREGUESIA-BRASILANDIA;Subprefeitura;0,0;0,0;Tesouro Municipal
122;Administração Geral;00;;;Despesa Regionalizável;0,0;GUAIANASES;Subprefeitura;0,0;0,0;Tesouro Municipal
122;Administração Geral;00;Sul;Subprefeitura Ipiranga;Despesa Regionalizável;66461,44;IPIRANGA;Subprefeitura;0,0;0,0;Tesouro Municipal
122;Administração Geral;00;;;Despesa Regionalizável;0,0;ITAIM PAULISTA;Subprefeitura;0,0;0,0;Tesouro Municipal
122;Administração Geral;00;;;Despesa Regionalizável;0,0;ITAQUERA;Subprefeitura;0,0;0,0;Tesouro Municipal
122;Administração Geral;00;;;Despesa Regionalizável;0,0;JABAQUARA;Subprefeitura;0,0;0,0;Tesouro Municipal
122;Administração Geral;00;;;Despesa Regionalizável;0,0;JACANA-TREMEMBE;Subprefeitura;0,0;0,0;Tesouro Municipal
122;Administração Geral;00;Oeste;Subprefeitura Lapa;Despesa Regionalizável;822754,54;LAPA;Subprefeitura;0,0;0,0;Tesouro Municipal
122;Administração Geral;00;;;Despesa Regionalizável;0,0;M BOI MIRIM;Subprefeitura;0,0;0,0;Tesouro Municipal
122;Administração Geral;00;;;Despesa Regionalizável;0,0;MOOCA;Subprefeitura;0,0;0,0;Tesouro Municipal
122;Administração Geral;00;;;Despesa Regionalizável;0,0;PARELHEIROS;Subprefeitura;0,0;0,0;Tesouro Municipal
122;Administração Geral;00;;;Despesa Regionalizável;0,0;PENHA;Subprefeitura;0,0;0,0;Tesouro Municipal
122;Administração Geral;00;;;Despesa Regionalizável;0,0;PERUS;Subprefeitura;0,0;0,0;Tesouro Municipal
122;Administração Geral;00;;;Despesa Regionalizável;0,0;PINHEIROS;Subprefeitura;0,0;0,0;Tesouro Municipal
122;Administração Geral;00;;;Despesa Regionalizável;0,0;PIRITUBA-JARAGUA;Subprefeitura;0,0;0,0;Tesouro Municipal
122;Administração Geral;00;;;Despesa Regionalizável;0,0;SANTANA-TUCURUVI;Subprefeitura;0,0;0,0;Tesouro Municipal
122;Administração Geral;00;;;Despesa Regionalizável;0,0;SANTO AMARO;Subprefeitura;0,0;0,0;Tesouro Municipal
122;Administração Geral;00;;;Despesa Regionalizável;0,0;SAO MATEUS;Subprefeitura;0,0;0,0;Tesouro Municipal
122;Administração Geral;00;;;Despesa Regionalizável;0,0;SAO MIGUEL;Subprefeitura;0,0;0,0;Tesouro Municipal
122;Administração Geral;00;;;Despesa Regionalizável;0,0;SAPOPEMBA;Subprefeitura;0,0;0,0;Tesouro Municipal
122;Administração Geral;00;;;Despesa Regionalizável;0,0;SE;Subprefeitura;0,0;0,0;Tesouro Municipal
122;Administração Geral;00;;;Despesa Regionalizável;0,0;VILA MARIA-VILA GUILHERME;Subprefeitura;0,0;0,0;Tesouro Municipal
122;Administração Geral;00;Sul;Subprefeitura Vila Mariana;Despesa Regionalizável;26806,7;VILA MARIANA;Subprefeitura;0,0;0,0;Tesouro Municipal
122;Administração Geral;00;;;Despesa Regionalizável;0,0;VILA PRUDENTE;Subprefeitura;0,0;0,0;Tesouro Municipal
122;Administração Geral;00;;;;760847717,21;;Não detalhado;870876599,0;951817037,97;Tesouro Municipal
122;Administração Geral;08;;;Despesa Regionalizável;0,0;ARICANDUVA-FORMOSA-CARRAO;Subprefeitura;0,0;0,0;Tesouro Municipal - Recursos Vinculados
122;Administração Geral;08;;;Despesa Regionalizável;0,0;BUTANTA;Subprefeitura;0,0;0,0;Tesouro Municipal - Recursos Vinculados
122;Administração Geral;08;;;Despesa Regionalizável;0,0;CAMPO LIMPO;Subprefeitura;0,0;0,0;Tesouro Municipal - Recursos Vinculados
122;Administração Geral;08;;;Despesa Regionalizável;0,0;CAPELA DO SOCORRO;Subprefeitura;0,0;0,0;Tesouro Municipal - Recursos Vinculados
122;Administração Geral;08;;;Despesa Regionalizável;0,0;CASA VERDE-CACHOEIRINHA;Subprefeitura;0,0;0,0;Tesouro Municipal - Recursos Vinculados
122;Administração Geral;08;;;Despesa Regionalizável;0,0;CIDADE ADEMAR;Subprefeitura;0,0;0,0;Tesouro Municipal - Recursos Vinculados
122;Administração Geral;08;;;Despesa Regionalizável;0,0;CIDADE TIRADENTES;Subprefeitura;0,0;0,0;Tesouro Municipal - Recursos Vinculados
122;Administração Geral;08;;;Despesa Regionalizável;0,0;ERMELINO MATARAZZO;Subprefeitura;0,0;0,0;Tesouro Municipal - Recursos Vinculados
122;Administração Geral;08;;;Despesa Regionalizável;0,0;FREGUESIA-BRASILANDIA;Subprefeitura;0,0;0,0;Tesouro Municipal - Recursos Vinculados
122;Administração Geral;08;;;Despesa Regionalizável;0,0;GUAIANASES;Subprefeitura;0,0;0,0;Tesouro Municipal - Recursos Vinculados
122;Administração Geral;08;;;Despesa Regionalizável;0,0;IPIRANGA;Subprefeitura;0,0;0,0;Tesouro Municipal - Recursos Vinculados
122;Administração Geral;08;;;Despesa Regionalizável;0,0;ITAIM PAULISTA;Subprefeitura;0,0;0,0;Tesouro Municipal - Recursos Vinculados
122;Administração Geral;08;;;Despesa Regionalizável;0,0;ITAQUERA;Subprefeitura;0,0;0,0;Tesouro Municipal - Recursos Vinculados
