Ano;Função;SiglaOrgao;Orgao;ProjetoAtividade;Orçado para OSG;Atualizado para OSG;Empenhado para OSG;Liquidado para OSG;Pago para OSG
2023;06 - Segurança Pública;SMSU;Secretaria Municipal de Segurança Urbana;Administração da Unidade;2205,622746;2504,483755;2492,508759;2489,979968;2489,969951
2023;06 - Segurança Pública;SMSU;Secretaria Municipal de Segurança Urbana;Ampliação, Reforma e Requalificação das Instalações para a Guarda Civil Metropolitana;5658119,35;1275094,803;1228493,769;353592,2573;349559,3653
2023;08 - Assistência Social;FMAS;Fundo Municipal de Assistência Social;Manutenção e Operação de Equipamentos de Proteção Social Especial à População em Situação de Rua;19332500;34097960,86;31224034,48;26206490,73;24020405,51
2023;10 - Saúde;FMS;Fundo Municipal da Saúde;Administração de Material  Médico Hospitalar e Ambulatorial em Atenção Básica, Especialidades e Vigilância;4197701,179;10743854,01;10247125,37;7466782,713;7127404,497
2023;10 - Saúde;FMS;Fundo Municipal da Saúde;Administração de Material Médico Hospitalar em Atenção Hospitalar, de Urgência e Emergência;21837,0897;32959,32508;30484,53259;19159,47405;18318,39736
2023;10 - Saúde;FMS;Fundo Municipal da Saúde;Manutenção e Operação da Atenção Hospitalar da Assistência Farmacêutica;46114,2;75194,39224;53593,0191;47099,45195;46002,05675
2023;10 - Saúde;FMS;Fundo Municipal da Saúde;Manutenção e Operação dos Serviços de DST / AIDS;201387,5476;301178,3228;245455,9987;211973,8475;211911,4031
2023;10 - Saúde;FMS;Fundo Municipal da Saúde;Manutenção e Operação em Atenção Básica, Especialidades e de Serviços Auxiliares de Diagnóstico e Terapia;3385754,66;3964123,24;3894004,842;3834447,074;3822519,32
2023;10 - Saúde;FMS;Fundo Municipal da Saúde;Manutenção e Operação em Atenção Básica, Especialidades e Vigilância da Assistência Farmacêutica;1364,029974;1935,479898;1878,966345;1582,465272;1567,732616
2023;10 - Saúde;FMS;Fundo Municipal da Saúde;Manutenção e Operação em Atenção Hospitalar e de Urgência e Emergência;245999141,3;281412877,5;274249525,3;265579925;264619195,7
2023;11 - Trabalho;SMDET;Secretaria Municipal de Desenvolvimento Econômico e Trabalho;Administração da Unidade;7598566,403;7701811,109;7522326,981;6578052,426;6554380,826
2023;11 - Trabalho;SMDET;Secretaria Municipal de Desenvolvimento Econômico e Trabalho;Capacitação, Formação e Aperfeiçoamento dos Trabalhadores;358607,4437;816900,8952;789130,6407;655144,9878;645137,7593
2023;11 - Trabalho;SMDET;Secretaria Municipal de Desenvolvimento Econômico e Trabalho;Política Municipal de Desenvolvimento Econômico;130440,3317;79187,74756;79187,74756;13132,09496;11860,21372
2023;12 - Educação;SME;Secretaria Municipal de Educação;Ações de Apoio à Educação Especial;13413,7737;15554,87212;15325,40457;14608,36046;14574,7179
2023;12 - Educação;SME;Secretaria Municipal de Educação;Administração da Unidade;19939,19112;23373,89189;23288,8791;22118,2191;22063,18003
2023;12 - Educação;SME;Secretaria Municipal de Educação;Eventos Educacionais, Culturais e Esportivos nos Centros Educacionais Unificados;592491,96;491008,1509;490927,4659;447098,3959;316911,2765
2023;13 - Cultura;SMC;Secretaria Municipal de Cultura;Ações e Atividades Culturais da Biblioteca Mario de Andrade;30196,2;29491,81068;28814,90298;18124,21986;17338,69216
2023;13 - Cultura;SMC;Secretaria Municipal de Cultura;Ações e Atividades Culturais do Departamento do Patrimônio Histórico;48647,55;31567,27925;26914,00425;23715,0627;23667,8757
2023;13 - Cultura;SMC;Secretaria Municipal de Cultura;Apoio à Cultura Negra;77034,44;104283,1393;104283,1393;41686,63173;41612,85573
2023;13 - Cultura;SMC;Secretaria Municipal de Cultura;Circuito Cultural de São Paulo;143680;339982,8;338643,2617;313488,4857;313398,6857
2023;13 - Cultura;SMC;Secretaria Municipal de Cultura;Execução do Programa Museu de Arte de Rua - MAR;586032;586032;576701,1446;327740,5448;326132,6616
2023;13 - Cultura;SMC;Secretaria Municipal de Cultura;Execução do Programa para a Valorização de Iniciativas Culturais;688869,024;660929,7078;657117,5735;657117,5735;646432,1775
2023;13 - Cultura;SMC;Secretaria Municipal de Cultura;Fomento à Cultura da Periferia de São Paulo;736927,7752;869687,737;838661,8521;390839,3684;381469,7684
2023;13 - Cultura;SMC;Secretaria Municipal de Cultura;Fomento à Música;54399,8;84715,8606;63808,08038;8107,76498;8107,76498
2023;13 - Cultura;SMC;Secretaria Municipal de Cultura;Fomento ao Circo/Edital Xamego;361270;262082,4178;262082,4173;86865,98061;85513,79861
2023;13 - Cultura;SMC;Secretaria Municipal de Cultura;Instalação de Polo Criativo na Chácara do Jockey;21724;14500,77;14499,89126;14174,03126;14174,03126
2023;13 - Cultura;SMC;Secretaria Municipal de Cultura;Lei de Fomento à Dança;438612,3;403526,7249;403526,7249;208691,8201;208431,0001
2023;13 - Cultura;SMC;Secretaria Municipal de Cultura;Lei de Fomento ao Teatro;1022686,183;870134,6069;870086,6569;603803,4012;597839,8405
2023;13 - Cultura;SMC;Secretaria Municipal de Cultura;Mês do Hip Hop;96368;90973,928;90735,544;89258,5776;89098,8096
2023;13 - Cultura;SMC;Secretaria Municipal de Cultura;Oficina nos Equipamentos Culturais;10422,39264;7529,204805;7437,31164;6478,36816;6391,66
2023;13 - Cultura;SMC;Secretaria Municipal de Cultura;Prêmio Zé Renato;342281,088;336349,3445;332697,0776;185096,9685;185051,8365
2023;13 - Cultura;SMC;Secretaria Municipal de Cultura;Programa Municipal de Apoio a Projetos Culturais (PRO-MAC);2288880;2050513,965;2035377,589;1367299,561;726191,7571
2023;13 - Cultura;SMC;Secretaria Municipal de Cultura;Programa Vocacional;7061,68;6810,772;6788,6785;5476,1598;5458,6807
2023;13 - Cultura;SMC;Secretaria Municipal de Cultura;Programação da Virada Cultural;22080;44829,66315;41676,7968;41676,7968;41550,0768
2023;13 - Cultura;SMC;Secretaria Municipal de Cultura;Programação de Atividades Culturais;286466,6139;2564164,61;2552383,208;1665723,638;1640257,859
2023;13 - Cultura;SMC;Secretaria Municipal de Cultura;Programação de Atividades Culturais de Casas de Cultura;259191,06;424850,786;418305,4108;307590,875;299411,4398
2023;13 - Cultura;SMC;Secretaria Municipal de Cultura;Programação de Atividades Culturais de Centros Culturais e Teatros;243119,52;232643,3777;232605,4157;214055,5253;210874,4081
2023;13 - Cultura;SMC;Secretaria Municipal de Cultura;Programação de Atividades Culturais do Centro Cultural São Paulo;54628,87;69340,66805;69079,39305;48461,01811;48281,48486
2023;13 - Cultura;SMC;Secretaria Municipal de Cultura;Programação de Atividades Culturais do Departamento dos Museus Municipais;15383,49682;9625,570606;9563,367807;8329,186699;8329,186699
2023;13 - Cultura;SMC;Secretaria Municipal de Cultura;Programação de Atividades Culturais nas Bibliotecas Públicas;149953,728;150572,541;148099,6691;119640,3005;119503,6328
2023;13 - Cultura;SMC;Secretaria Municipal de Cultura;Programação de Atividades e Eventos da Cultura Reggae;27159,03;26364,63492;24924,18492;7712,11692;7429,26492
2023;13 - Cultura;SMC;Secretaria Municipal de Cultura;Rádios Comunitárias - Lei nº 16.572/2016;354871,66;327998,836;327998,836;327998,836;327508,456
2023;13 - Cultura;SUB-MB;Subprefeitura M'Boi Mirim;Programação de Atividades Culturais;3146,28;29202;25013,2086;25013,2086;25013,2086
2023;13 - Cultura;SUB-MP;Subprefeitura São Miguel Paulista;Programação de Atividades Culturais;8,79;50032,68;50023,89;50023,89;50023,89
2023;13 - Cultura;SUB-PE;Subprefeitura Penha;Programação de Atividades Culturais;25;20000;20000;19500;19500
2023;14 - Direitos da Cidadania;SMDHC;Secretaria Municipal de Direitos Humanos e Cidadania;Administração da Unidade;6779,42892;8577,78894;8398,316209;7491,663362;7455,361304
2023;14 - Direitos da Cidadania;SMDHC;Secretaria Municipal de Direitos Humanos e Cidadania;Manutenção e Operação dos Equipamentos Públicos Voltados ao Atendimento da População LGBTI+;0;5061,690632;4869,343763;4459,341949;4444,149673
