Ano;Função;SiglaOrgao;Orgao;ProjetoAtividade;Orçado para OSG;Atualizado para OSG;Empenhado para OSG;Liquidado para OSG;Pago para OSG
2022;12 - Educação;SME;Secretaria Municipal de Educação;Manutenção e Operação da Rede Parceira - Alfabetização de Jovens e Adultos;667612,389;848313,3513;795720,8514;758839,2067;752342,4691
2022;12 - Educação;SME;Secretaria Municipal de Educação;Manutenção e Operação da Rede Parceira - Centro de Educação Infantil (CEI);1415340194;1892080745;1876650646;1720452291;1717780065
2022;12 - Educação;SME;Secretaria Municipal de Educação;Manutenção e Operação de Centros de Educação Infantil (CEI);239306794,4;246968900,9;212405524,1;184567474;183228204,5
2022;12 - Educação;SME;Secretaria Municipal de Educação;Manutenção e Operação de Unidades Educacionais - Centro Integrado de Jovens e Adultos (CIEJA);5007061,891;5044568,735;3429768,892;2756390,256;2696527,317
2022;12 - Educação;SME;Secretaria Municipal de Educação;Remuneração dos Profissionais do Magistério - Centro de Educação Infantil (CEI);461394286,9;555848742,2;551111440,7;514117561,7;514117561,7
2022;12 - Educação;SME;Secretaria Municipal de Educação;Transporte Escolar - Educação Infantil;68645678,4;87878564,04;87332083,85;75493218,82;75199078,88
2023;12 - Educação;SME;Secretaria Municipal de Educação;Manutenção e Operação da Rede Parceira - Alfabetização de Jovens e Adultos;897189,6135;813126,7616;808780,6778;784133,2392;783792,1602
2023;12 - Educação;SME;Secretaria Municipal de Educação;Manutenção e Operação da Rede Parceira - Centro de Educação Infantil (CEI);1664109177;1791783595;1787004706;1756752347;1647221994
2023;12 - Educação;SME;Secretaria Municipal de Educação;Manutenção e Operação de Centros de Educação Infantil (CEI);235334828,4;190895591,4;190404226,2;177988339;174788509,9
2023;12 - Educação;SME;Secretaria Municipal de Educação;Manutenção e Operação de Unidades Educacionais - Centro Integrado de Jovens e Adultos (CIEJA);4528939,541;3436598,544;3435068,943;2931203,383;2834033,376
2023;12 - Educação;SME;Secretaria Municipal de Educação;Remuneração dos Profissionais do Magistério - Centro de Educação Infantil (CEI);595616993;659009944,7;658341761,7;640733294,9;640733294,9
2023;12 - Educação;SME;Secretaria Municipal de Educação;Transporte Escolar - Educação Infantil;81096318,81;104394135,7;103696611,5;90650936,72;83396498,79
2024;12 - Educação;SME;Secretaria Municipal de Educação;Ações de Incentivo à Educação de Jovens e Adultos;3018720;0;0;0;0
2024;12 - Educação;SME;Secretaria Municipal de Educação;Manutenção e Operação da Rede Parceira - Alfabetização de Jovens e Adultos;900221,379;825761,6261;813587,6002;789154,0389;789154,0389
2024;12 - Educação;SME;Secretaria Municipal de Educação;Manutenção e Operação da Rede Parceira - Centro de Educação Infantil (CEI);1698287620;2304977631;2299673748;2296142034;2295186803
2024;12 - Educação;SME;Secretaria Municipal de Educação;Manutenção e Operação de Centros de Educação Infantil (CEI);178424635,4;135574588,4;130901179,9;121048200,2;120849658,8
2024;12 - Educação;SME;Secretaria Municipal de Educação;Manutenção e Operação de Unidades Educacionais - Centro Integrado de Jovens e Adultos (CIEJA);5562380,326;3751415,059;3498191,798;3124547,722;3094611,018
2024;12 - Educação;SME;Secretaria Municipal de Educação;Remuneração dos Profissionais da Educação Básica - Centro de Educação Infantil (CEI);751918888,1;763593126,1;759217630,2;739393195,8;739393195,8
2024;12 - Educação;SME;Secretaria Municipal de Educação;Transporte Escolar - Educação Infantil;66481183,86;130327975,4;130120178,4;119811487,7;119450063,5
2025;12 - Educação;SME;Secretaria Municipal de Educação;Ações de Incentivo à Educação de Jovens e Adultos;529,6;529,6;0;0;0
2025;12 - Educação;SME;Secretaria Municipal de Educação;Manutenção e Operação da Rede Parceira - Alfabetização de Jovens e Adultos;836678,7795;836678,7795;658162,3359;460189,6336;452819,3045
2025;12 - Educação;SME;Secretaria Municipal de Educação;Manutenção e Operação da Rede Parceira - Centro de Educação Infantil (CEI);1747761492;1746944132;1508256755;1342811305;1334929721
2025;12 - Educação;SME;Secretaria Municipal de Educação;Manutenção e Operação de Centros de Educação Infantil (CEI);163829819;164861547,9;98485186,21;75334864,73;73533668,46
2025;12 - Educação;SME;Secretaria Municipal de Educação;Manutenção e Operação de Unidades Educacionais - Centro Integrado de Jovens e Adultos (CIEJA);6564497,39;5377592,967;2993563,423;1922471,975;1816206,385
2025;12 - Educação;SME;Secretaria Municipal de Educação;Remuneração dos Profissionais da Educação Básica - Centro de Educação Infantil (CEI);847995339,8;828495339,8;406526780,8;406526780,8;406526780,8
2025;12 - Educação;SME;Secretaria Municipal de Educação;Transporte Escolar - Educação Infantil;97006953,42;85993474,94;60025633,61;59667115,01;59512431,12
