Ano;Função;SiglaOrgao;Orgao;ProjetoAtividade;Orçado para OSG;Atualizado para OSG;Empenhado para OSG;Liquidado para OSG;Pago para OSG
2022;16 - Habitação;FUNDURB;Fundo de Desenvolvimento Urbano;Locação Social;50;40050;40000;0;0
2022;16 - Habitação;SEHAB;Secretaria Municipal de Habitação;Programa Pode Entrar;58925000;58925000;0;0;0
2022;16 - Habitação;SEHAB;Secretaria Municipal de Habitação;Serviço de Moradia Transitória;5346885,25;6586800,5;6040996,992;5682339,242;5610844,181
2023;16 - Habitação;FMH;Fundo Municipal de Habitação;Programa Pode Entrar;21387005,45;35966925,05;35913191,6;30885604,74;30867563,11
2023;16 - Habitação;FUNDURB;Fundo de Desenvolvimento Urbano;Locação Social;50;40050;0;0;0
2023;16 - Habitação;SEHAB;Secretaria Municipal de Habitação;Programa Pode Entrar;78652622,35;58298339,57;7948339,574;7948339,574;7948339,574
2023;16 - Habitação;SEHAB;Secretaria Municipal de Habitação;Serviço de Moradia Transitória;6050000;6903006,531;6855213,099;6584648,796;6283449,743
2024;16 - Habitação;FMH;Fundo Municipal de Habitação;Programa Pode Entrar;200;7375062,969;7370860,808;6718663,572;6718663,572
2024;16 - Habitação;FUNDURB;Fundo de Desenvolvimento Urbano;Locação Social;50;50;0;0;0
2024;16 - Habitação;SEHAB;Secretaria Municipal de Habitação;Programa Pode Entrar;175346810,6;141912557,8;95565747,26;95163450,65;95163450,65
2024;16 - Habitação;SEHAB;Secretaria Municipal de Habitação;Serviço de Moradia Transitória;6078474,15;7806812,546;7447569,443;7327174,463;7314954,401
2025;16 - Habitação;FMH;Fundo Municipal de Habitação;Programa Pode Entrar;50;734037,021;733987,021;733987,021;733987,021
2025;16 - Habitação;FUNDURB;Fundo de Desenvolvimento Urbano;Locação Social;50;50;0;0;0
2025;16 - Habitação;SEHAB;Secretaria Municipal de Habitação;Programa Pode Entrar;175117772;154919719;54536896,01;42081966,43;41495001,61
2025;16 - Habitação;SEHAB;Secretaria Municipal de Habitação;Serviço de Moradia Transitória;5781253,2;6503253,2;5963054,498;5563293,354;5510677,307
