Ano;Função;SiglaOrgao;Orgao;ProjetoAtividade;Orçado para OSG;Atualizado para OSG;Empenhado para OSG;Liquidado para OSG;Pago para OSG
2022;11 - Trabalho;SMDET;Secretaria Municipal de Desenvolvimento Econômico e Trabalho;Fomento às Cadeias Produtivas, Vocações Produtivas e Projetos Locais;2781459,2;3146670,015;3145416,981;2589000,59;2093980,589
2022;11 - Trabalho;SMDET;Secretaria Municipal de Desenvolvimento Econômico e Trabalho;Fomento e Apoio ao Cooperativismo;1059,2;205230,592;204700,992;0;0
2022;11 - Trabalho;SMDET;Secretaria Municipal de Desenvolvimento Econômico e Trabalho;Operação e Manutenção do VAI TEC;613357,2992;592945,742;546653,12;546653,12;546653,12
2022;11 - Trabalho;SMDET;Secretaria Municipal de Desenvolvimento Econômico e Trabalho;Operação e Manutenção dos Centros de Apoio ao Trabalho e Empreendedorismo;9797697,446;8670735,656;8527813,272;6904614,1;6867904,876
2022;11 - Trabalho;SMDET;Secretaria Municipal de Desenvolvimento Econômico e Trabalho;Programa Mãos e Mentes Paulistanas;770127,3728;963887,5491;963887,5491;963887,5491;483010,0288
2023;11 - Trabalho;SMDET;Secretaria Municipal de Desenvolvimento Econômico e Trabalho;Fomento às Cadeias Produtivas, Vocações Produtivas e Projetos Locais;13240529,6;2421658,26;2416362,26;2416362,26;2364466,756
2023;11 - Trabalho;SMDET;Secretaria Municipal de Desenvolvimento Econômico e Trabalho;Fomento e Apoio ao Cooperativismo;1988676,069;4164114,561;4092464,479;3021068,321;2737490,357
2023;11 - Trabalho;SMDET;Secretaria Municipal de Desenvolvimento Econômico e Trabalho;Operação e Manutenção do VAI TEC;529600;3177600;3177600;3177600;3177600
2023;11 - Trabalho;SMDET;Secretaria Municipal de Desenvolvimento Econômico e Trabalho;Operação e Manutenção dos Centros de Apoio ao Trabalho e Empreendedorismo;11655063,96;9432563,429;9304757,592;7455826,678;7455826,678
2023;11 - Trabalho;SMDET;Secretaria Municipal de Desenvolvimento Econômico e Trabalho;Programa Mãos e Mentes Paulistanas;480877,8592;238662,5824;238662,5824;238662,5824;238662,5824
2024;11 - Trabalho;SMDET;Secretaria Municipal de Desenvolvimento Econômico e Trabalho;Fomento às Cadeias Produtivas, Vocações Produtivas e Projetos Locais;1589329,6;1726496;1694720;1694720;1694720
2024;11 - Trabalho;SMDET;Secretaria Municipal de Desenvolvimento Econômico e Trabalho;Fomento e Apoio ao Cooperativismo;1466091,68;6174314,5;5538564,018;5302854,915;5302854,915
2024;11 - Trabalho;SMDET;Secretaria Municipal de Desenvolvimento Econômico e Trabalho;Operação e Manutenção do VAI TEC;529600;4284127,614;4284127,614;4284127,614;4284127,614
2024;11 - Trabalho;SMDET;Secretaria Municipal de Desenvolvimento Econômico e Trabalho;Operação e Manutenção dos Centros de Apoio ao Trabalho e Empreendedorismo;11625632,5;10370190,18;9898210,225;8789350,846;8789350,846
2024;11 - Trabalho;SMDET;Secretaria Municipal de Desenvolvimento Econômico e Trabalho;Programa Mãos e Mentes Paulistanas;1256754,04;2064787,845;2064787,845;2064787,845;2064787,845
2025;11 - Trabalho;SMDET;Secretaria Municipal de Desenvolvimento Econômico e Trabalho;Fomento às Cadeias Produtivas, Vocações Produtivas e Projetos Locais;2118400;1747680;1429920;529600;529600
2025;11 - Trabalho;SMDET;Secretaria Municipal de Desenvolvimento Econômico e Trabalho;Fomento e Apoio ao Cooperativismo;11095120;4937044,005;1963623,669;1937978,975;1937978,975
2025;11 - Trabalho;SMDET;Secretaria Municipal de Desenvolvimento Econômico e Trabalho;Operação e Manutenção do VAI TEC;1588800;941682,2313;595800;595800;595800
2025;11 - Trabalho;SMDET;Secretaria Municipal de Desenvolvimento Econômico e Trabalho;Operação e Manutenção dos Centros de Apoio ao Trabalho e Empreendedorismo;15597563,65;12025562,08;11473321,88;4849008,862;4701204,482
2025;11 - Trabalho;SMDET;Secretaria Municipal de Desenvolvimento Econômico e Trabalho;Programa Mãos e Mentes Paulistanas;2118400;1810645,203;1067030,798;1067030,798;1067030,798
