Cd_AnoExecucao;Cd_Exercicio;Cd_Dotacao_Id;Administracao;Cd_Orgao;Sigla_Orgao;Ds_Orgao;Cd_Funcao;Ds_Funcao;Cd_SubFuncao;Ds_SubFuncao;Cd_Programa;Ds_Programa;ProjetoAtividade;Ds_Projeto_Atividade;Vl_Orcado_Ano;Vl_Suplementado;Vl_Reduzido;Vl_SuplementadoLiquido;Vl_Orcado_Atualizado;Vl_ReservadoLiquido;Vl_EmpenhadoLiquido;Vl_Liquidado;Vl_Pago
2024;2024;169108;Direta;7;FMD;Fundo Municipal de Desenvolvimento Social;8;Assistência Social;244;Assistência Comunitária;3023;Proteção à População em Situação de Vulnerabilidade Social;3399;Ampliação, Reforma e Requalificação de Equipamentos da Assistência Social;1000;0;0;0;1000;0;0;0;0
2024;2024;173723;Direta;7;FMD;Fundo Municipal de Desenvolvimento Social;10;Saúde;301;Atenção Básica;3003;Ações e Serviços da Saúde em Atenção Básica, Especialidades e Vigilância;1525;Construção e Implantação de Equipamentos de Atenção Básica e Especialidades;0;1317978,6;0;1317978,6;1317978,6;1314177;1314177;1314177;1314177
2024;2024;171046;Direta;7;FMD;Fundo Municipal de Desenvolvimento Social;10;Saúde;301;Atenção Básica;3003;Ações e Serviços da Saúde em Atenção Básica, Especialidades e Vigilância;1525;Construção e Implantação de Equipamentos de Atenção Básica e Especialidades;4449303;0;1317978,6;-1317978,6;3131324,4;3131324,4;3131324,4;2940879,9;2791266,85
2024;2024;173862;Direta;7;FMD;Fundo Municipal de Desenvolvimento Social;10;Saúde;301;Atenção Básica;3003;Ações e Serviços da Saúde em Atenção Básica, Especialidades e Vigilância;1525;Construção e Implantação de Equipamentos de Atenção Básica e Especialidades;0;37258939,15;0;37258939,15;37258939,15;37222552,12;37222552,12;30999672,71;30291725,36
2024;2024;180471;Direta;7;FMD;Fundo Municipal de Desenvolvimento Social;10;Saúde;301;Atenção Básica;3003;Ações e Serviços da Saúde em Atenção Básica, Especialidades e Vigilância;1525;Construção e Implantação de Equipamentos de Atenção Básica e Especialidades;0;2000000;0;2000000;2000000;2000000;2000000;2000000;2000000
2024;2024;171047;Direta;7;FMD;Fundo Municipal de Desenvolvimento Social;10;Saúde;301;Atenção Básica;3003;Ações e Serviços da Saúde em Atenção Básica, Especialidades e Vigilância;1526;Ampliação, Reforma e Requalificação de Equipamentos de Atenção Básica e Especialidades;100000;0;100000;-100000;0;0;0;0;0
2024;2024;180468;Direta;7;FMD;Fundo Municipal de Desenvolvimento Social;10;Saúde;301;Atenção Básica;3003;Ações e Serviços da Saúde em Atenção Básica, Especialidades e Vigilância;1526;Ampliação, Reforma e Requalificação de Equipamentos de Atenção Básica e Especialidades;0;1063815,38;313816,43;749998,95;749998,95;563814,05;563814,05;563814,05;563814,05
2024;2024;180472;Direta;7;FMD;Fundo Municipal de Desenvolvimento Social;10;Saúde;301;Atenção Básica;3003;Ações e Serviços da Saúde em Atenção Básica, Especialidades e Vigilância;1526;Ampliação, Reforma e Requalificação de Equipamentos de Atenção Básica e Especialidades;0;186184,62;0;186184,62;186184,62;186184,62;186184,62;186184,62;186184,62
2024;2024;180467;Direta;7;FMD;Fundo Municipal de Desenvolvimento Social;10;Saúde;301;Atenção Básica;3003;Ações e Serviços da Saúde em Atenção Básica, Especialidades e Vigilância;1526;Ampliação, Reforma e Requalificação de Equipamentos de Atenção Básica e Especialidades;0;61750000;1469645,94;60280354,06;60280354,06;59216748,83;59216748,83;25745894,44;16198153,47
2024;2024;173863;Direta;7;FMD;Fundo Municipal de Desenvolvimento Social;10;Saúde;301;Atenção Básica;3003;Ações e Serviços da Saúde em Atenção Básica, Especialidades e Vigilância;1526;Ampliação, Reforma e Requalificação de Equipamentos de Atenção Básica e Especialidades;0;75081190,77;33490988,27;41590202,5;41590202,5;41590202,5;41590202,5;35676600,99;35002753,64
