Subprefeitura residência;SUBPREFEITURA_QLIK;Evitáveis ou tratáveis;Qtd óbitos
Aricanduva/Formosa/Carrão;ARICANDUVA-FORMOSA-CARRAO;Evitáveis;1508
Butantã;BUTANTA;Evitáveis;1581
Campo Limpo;CAMPO LIMPO;Evitáveis;2189
Capela do Socorro;CAPELA DO SOCORRO;Evitáveis;2299
Casa Verde/Cachoeirinha;CASA VERDE-CACHOEIRINHA;Evitáveis;1576
Cidade Ademar;CIDADE ADEMAR;Evitáveis;1630
Cidade Tiradentes;CIDADE TIRADENTES;Evitáveis;855
Ermelino Matarazzo;ERMELINO MATARAZZO;Evitáveis;981
Freguesia/Brasilândia;FREGUESIA-BRASILANDIA;Evitáveis;1933
Guaianases;GUAIANASES;Evitáveis;1108
Ipiranga;IPIRANGA;Evitáveis;1887
Itaim Paulista;ITAIM PAULISTA;Evitáveis;1466
Itaquera;ITAQUERA;Evitáveis;2398
Jabaquara;JABAQUARA;Evitáveis;924
Jaçanã/Tremembé;JACANA-TREMEMBE;Evitáveis;1363
Lapa;LAPA;Evitáveis;1163
M'Boi Mirim;M BOI MIRIM;Evitáveis;1986
Moóca;MOOCA;Evitáveis;1879
Parelheiros;PARELHEIROS;Evitáveis;604
Penha;PENHA;Evitáveis;2471
Perus;PERUS;Evitáveis;549
Pinheiros;PINHEIROS;Evitáveis;959
Pirituba;PIRITUBA-JARAGUA;Evitáveis;2014
Santana/Tucuruvi;SANTANA-TUCURUVI;Evitáveis;1724
Santo Amaro;SANTO AMARO;Evitáveis;1038
Sapopemba;SAPOPEMBA;Evitáveis;1283
São Mateus;SAO MATEUS;Evitáveis;1808
São Miguel;SAO MIGUEL;Evitáveis;1665
Sé;SE;Evitáveis;1728
Vila Maria/Vila Guilherme;VILA MARIA-VILA GUILHERME;Evitáveis;1474
Vila Mariana;VILA MARIANA;Evitáveis;1256
Vila Prudente;VILA PRUDENTE;Evitáveis;1338
Aricanduva/Formosa/Carrão;ARICANDUVA-FORMOSA-CARRAO;Tratáveis;1064
Butantã;BUTANTA;Tratáveis;1104
Campo Limpo;CAMPO LIMPO;Tratáveis;1316
Capela do Socorro;CAPELA DO SOCORRO;Tratáveis;1479
Casa Verde/Cachoeirinha;CASA VERDE-CACHOEIRINHA;Tratáveis;964
Cidade Ademar;CIDADE ADEMAR;Tratáveis;994
Cidade Tiradentes;CIDADE TIRADENTES;Tratáveis;505
Ermelino Matarazzo;ERMELINO MATARAZZO;Tratáveis;674
Freguesia/Brasilândia;FREGUESIA-BRASILANDIA;Tratáveis;1188
Guaianases;GUAIANASES;Tratáveis;680
Ipiranga;IPIRANGA;Tratáveis;1413
Itaim Paulista;ITAIM PAULISTA;Tratáveis;978
Itaquera;ITAQUERA;Tratáveis;1461
Jabaquara;JABAQUARA;Tratáveis;647
Jaçanã/Tremembé;JACANA-TREMEMBE;Tratáveis;886
Lapa;LAPA;Tratáveis;948
M'Boi Mirim;M BOI MIRIM;Tratáveis;1175
Moóca;MOOCA;Tratáveis;1423
Parelheiros;PARELHEIROS;Tratáveis;365
Penha;PENHA;Tratáveis;1722
Perus;PERUS;Tratáveis;296
Pinheiros;PINHEIROS;Tratáveis;852
Pirituba;PIRITUBA-JARAGUA;Tratáveis;1323
Santana/Tucuruvi;SANTANA-TUCURUVI;Tratáveis;1349
Santo Amaro;SANTO AMARO;Tratáveis;869
Sapopemba;SAPOPEMBA;Tratáveis;796
São Mateus;SAO MATEUS;Tratáveis;1141
São Miguel;SAO MIGUEL;Tratáveis;1072
Sé;SE;Tratáveis;1243
Vila Maria/Vila Guilherme;VILA MARIA-VILA GUILHERME;Tratáveis;1003
Vila Mariana;VILA MARIANA;Tratáveis;1127
Vila Prudente;VILA PRUDENTE;Tratáveis;870
